transaction_id,account_number,transaction_type,transaction_amount,account_holder_country,purchase_country,credit_card_type,card_balance,card_limit,account_holder_income
1,221958,purchase,89.58,Mexico,Mexico,visa,1169.37,4727.91,69391.21
2,771155,cash_withdrawal,19.38,Canada,Canada,amex,1227.37,2651.14,46738.58
3,231932,online_payment,1685.34,USA,USA,mastercard,4582.76,7723.9,25337.63
4,465838,purchase,53.61,USA,USA,mastercard,928.94,3670.61,47987.03
5,359178,purchase,56.41,USA,USA,amex,905.34,5641.75,63439.96
6,744167,purchase,53.66,Mexico,Mexico,amex,1693.32,3536.08,37556.75
7,210268,cash_withdrawal,72.98,Mexico,Mexico,visa,1223.76,4703.33,47230.84
8,832180,cash_withdrawal,21.06,Mexico,Mexico,amex,823.09,1841.76,27936.17
9,154886,cash_withdrawal,39.39,USA,USA,mastercard,988.89,5075.67,37092.56
10,237337,cash_withdrawal,1991.03,USA,Germany,amex,3782.17,5748.12,30079.07
11,621430,cash_withdrawal,19.11,Canada,Canada,mastercard,954.2,3044.5,42417.04
12,187498,online_payment,73.8,USA,USA,visa,403.31,2471.97,50456.36
13,999159,online_payment,23.22,USA,USA,amex,1399.96,4151.15,61280.7
14,275203,purchase,50.51,Canada,Canada,mastercard,1514.38,5075.58,48514.34
15,291335,cash_withdrawal,1.0,Canada,Canada,visa,1175.64,2263.45,71004.49
16,378167,purchase,13.76,USA,USA,mastercard,594.06,5292.63,60090.67
17,141090,purchase,44.28,USA,USA,amex,1050.31,4141.18,45255.55
18,429365,purchase,78.97,USA,USA,visa,1442.88,3250.87,72064.7
19,164820,cash_withdrawal,4.79,Canada,Canada,mastercard,1133.72,1748.68,49533.37
20,887201,cash_withdrawal,48.34,USA,USA,amex,1329.37,5169.37,20084.19
21,421879,cash_withdrawal,65.59,Mexico,Mexico,mastercard,526.25,2095.1,43562.76
22,818315,purchase,1117.0,Canada,Canada,amex,3357.64,7504.0,26532.14
23,427069,purchase,35.71,Canada,Canada,amex,1501.82,3193.1,41432.71
24,876997,cash_withdrawal,34.12,Canada,Canada,mastercard,1440.21,6141.49,38050.81
25,299041,cash_withdrawal,68.82,USA,USA,mastercard,947.62,4215.34,34792.06
26,891743,purchase,20.4,USA,USA,visa,1257.51,4654.34,55477.72
27,203355,purchase,5.46,USA,USA,mastercard,1184.57,4027.27,60830.0
28,335796,cash_withdrawal,1252.51,USA,Australia,mastercard,7642.46,8176.62,30499.21
29,314176,online_payment,73.75,Mexico,Mexico,visa,1049.91,2426.82,53574.11
30,284779,cash_withdrawal,93.98,Mexico,Mexico,visa,1010.82,4248.24,39231.85
31,447449,cash_withdrawal,55.49,USA,USA,mastercard,569.93,4710.51,78939.05
32,521909,online_payment,47.43,Canada,Canada,amex,1374.61,3025.41,69611.9
33,358795,online_payment,75.97,Canada,Canada,mastercard,940.21,4070.32,59597.93
34,586232,online_payment,63.37,Mexico,Mexico,amex,1407.82,2590.5,29506.83
35,600186,purchase,69.22,Mexico,Mexico,visa,1236.74,4999.27,84366.61
36,256730,purchase,2376.63,USA,India,mastercard,7196.72,12041.2,25232.49
37,970910,cash_withdrawal,53.42,Canada,Canada,mastercard,902.81,5372.19,57533.52
38,484681,cash_withdrawal,9.44,USA,USA,visa,833.76,4836.87,38546.89
39,249503,cash_withdrawal,27.73,Canada,Canada,visa,902.21,4158.03,49131.47
40,754811,cash_withdrawal,21.0,Canada,Canada,amex,1073.93,3046.66,53183.41
41,627035,online_payment,49.87,Mexico,Mexico,visa,1121.7,1823.18,40903.97
42,748143,cash_withdrawal,1.0,Mexico,Mexico,amex,900.79,4660.51,19575.9
43,552366,online_payment,668.11,Mexico,Mexico,visa,3214.24,4767.52,32792.14
